Latency (cycles),atax,bicg,gemm,gesummv,mvt,,AVG,GEO AVG
Dahlia,1702,1663,15661,483,1665,,,
Speedup,1,1,1,1,1,,1,1
Heterocl,1341,802,1105,134,89,,,
Speedup,1.269202088,2.073566085,14.17285068,3.604477612,18.70786517,,7.965592326,4.787562833
Allo,888,44,3005,169,43,,,
Speedup,1.916666667,37.79545455,5.211647255,2.857988166,38.72093023,,17.30053737,8.398340467
HLSTuner,132,94,741,41,71,,,
Speedup,12.89393939,17.69148936,21.13495277,11.7804878,23.45070423,,17.39031471,16.78394675
,,,,,,,,
,,,,,,,,
,,,,,,,,
Speedup of HLSTuner over DSLs,,,,,,,,
Dahlia,16.78394675,,,,,,,
Heterocl,3.505739211,,,,,,,
Allo,1.998483726,,,,,,,
GEO AVG,4.899195519,,,,,,,
