,,atax,bicg,gemm,gesummv,mvt,,,,,,,,
Llama3.1,DSP,14.6%,13.2%,11.0%,10.8%,13.9%,,,,,,,,
,FF,1.6%,1.2%,0.8%,0.8%,2.2%,,,,,,,,
,LUT,3.6%,3.5%,2.4%,2.4%,3.9%,,,,,,,,
GPT4o,DSP,14.6%,52.8%,10.5%,10.8%,13.9%,,,,,,,,
,FF,1.9%,2.1%,5.9%,1.0%,1.7%,,,,,,,,
,LUT,3.9%,12.2%,5.2%,2.4%,3.8%,,,,,,,,
HLSTuner,DSP,14.6%,13.2%,20.9%,10.8%,13.9%,,,,,,,,
,FF,1.9%,2.6%,1.5%,1.0%,13.3%,,,,,,,,
,LUT,3.9%,4.8%,7.2%,2.1%,10.6%,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Baseline,atax,bicg,gemm,gesummv,mvt,,,,,,,,,
Latency,1702,1658,15661,470,1629,,,,,,,,,
DSP_utilization,252,228,181,186,240,,,,,,,,,
FF_utilization,7551,7384,1657,3570,7834,,,,,,,,,
LUT_utilization,8407,7697,4787,5609,8681,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DSE_llama3_aug,atax,bicg,gemm,gesummv,mvt,,,,,,,,,
Latency,1702,911,8741,470,1031,,,,,,,,,
DSP_utilization,252,228,190,186,240,,,,,,,,,
FF_utilization,7551,5385,3690,3570,10181,,,,,,,,,
LUT_utilization,8407,7958,5524,5609,8971,,,,,,,,,
,,,,,,,,,,,,,,
DSE_4o_aug,atax,bicg,gemm,gesummv,mvt,,,,,,,,,
Latency,910,876,15674,259,1614,,,,,,,,,
DSP_utilization,252,912,181,186,240,,,,,,,,,
FF_utilization,8907,9804,27209,4507,7819,,,,,,,,,
LUT_utilization,8951,28171,11907,5471,8682,,,,,,,,,
,,,,,,,,,,,,,,
DSE_ours,atax,bicg,gemm,gesummv,mvt,,,,,,,,,
Latency,889,112,2261,54,591,,,,,,,,,
DSP_utilization,252,228,362,186,240,,,,,,,,,
FF_utilization,8907,11798,6737,4491,61243,,,,,,,,,
LUT_utilization,8951,10964,16641,4795,24488,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FPGA Total,,,,,,,,,,,,,,
DSP_utilization,1728,,,,,,,,,,,,,
FF_utilization,460800,,,,,,,,,,,,,
LUT_utilization,230400,,,,,,,,,,,,,
